gene_id	entrezgene_id	external_gene_name	description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Condition	Control	Call
ENSG00000161179	150223	YDJC	YdjC chitooligosaccharide deacetylase homolog [Source:HGNC Symbol;Acc:HGNC:27158]	148.779803978944	-0.972937232126498	0.170464956674323	-5.7075498161497	1.14614081461712e-08	1.3903186403399e-07	drug	control	YES
ENSG00000205560	1375	CPT1B	carnitine palmitoyltransferase 1B [Source:HGNC Symbol;Acc:HGNC:2329]	352.145950655416	-0.687242677062816	0.121215046990146	-5.66961523447401	1.43118563976739e-08	1.66375330622959e-07	drug	control	YES
ENSG00000128253	10739	RFPL2	ret finger protein like 2 [Source:HGNC Symbol;Acc:HGNC:9979]	208.526816757098	-0.939647762574758	0.167690933845243	-5.60344999594272	2.1012675580851e-08	2.34501459482297e-07	drug	control	YES
ENSG00000159958	115650	TNFRSF13C	TNF receptor superfamily member 13C [Source:HGNC Symbol;Acc:HGNC:17755]	80.5795463082305	-1.08073336960491	0.19568378784249	-5.52285593773774	3.3353320319789e-08	3.57906783431582e-07	drug	control	YES
ENSG00000100012	266629	SEC14L3	SEC14 like lipid binding 3 [Source:HGNC Symbol;Acc:HGNC:18655]	164.118298429041	-0.995558257358958	0.181199628128114	-5.49426214415333	3.92347328715043e-08	4.05425573005544e-07	drug	control	YES
ENSG00000100030	5594	MAPK1	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	256.950935991849	0.622677960977109	0.117062086916811	5.31921117568669	1.04218114229798e-07	9.37963028068186e-07	drug	control	YES
ENSG00000184702	5413	SEPTIN5	septin 5 [Source:HGNC Symbol;Acc:HGNC:9164]	260.053357331059	0.690318251182205	0.137003689757085	5.03868364717896	4.68744517671681e-07	3.63277001195553e-06	drug	control	YES
ENSG00000128191	54487	DGCR8	DGCR8 microprocessor complex subunit [Source:HGNC Symbol;Acc:HGNC:2847]	371.644018674035	-0.67021059128129	0.137294564829533	-4.88155224581127	1.05254028394913e-06	7.93672268167047e-06	drug	control	YES
ENSG00000169635	23119	HIC2	HIC ZBTB transcriptional repressor 2 [Source:HGNC Symbol;Acc:HGNC:18595]	307.660197558237	-0.777972488202974	0.16154312362497	-4.81588117615625	1.46551716703872e-06	1.07599813053632e-05	drug	control	YES
ENSG00000128311	7263	TST	thiosulfate sulfurtransferase [Source:HGNC Symbol;Acc:HGNC:12388]	129.748381393902	-0.726749261178743	0.152291555002843	-4.77209167090833	1.82322480477589e-06	1.27169930133119e-05	drug	control	YES
ENSG00000248751	.	AC004997.1	novel protein	124.315605757579	-0.897273905180283	0.204683687795545	-4.38370988349866	1.16675131786227e-05	7.23385817074607e-05	drug	control	YES
ENSG00000100068	91355	LRP5L	LDL receptor related protein 5 like [Source:HGNC Symbol;Acc:HGNC:25323]	130.892713951872	-0.663381683182249	0.169319583044644	-3.91792651064665	8.93139244936408e-05	0.000488599704582858	drug	control	YES
ENSG00000099940	9342	SNAP29	synaptosome associated protein 29 [Source:HGNC Symbol;Acc:HGNC:11133]	83.7592918303638	-0.880078473479925	0.226902061806194	-3.87867111684351	0.000105028635237993	0.000550264602429149	drug	control	YES
ENSG00000185252	7625	ZNF74	zinc finger protein 74 [Source:HGNC Symbol;Acc:HGNC:13144]	34.2590229831853	-1.08757515479281	0.28125016793185	-3.86693157479766	0.000110213335249728	0.00055908219153953	drug	control	YES
ENSG00000100138	4809	SNU13	small nuclear ribonucleoprotein 13 [Source:HGNC Symbol;Acc:HGNC:7819]	93.7143216599936	-0.733481196209626	0.20833192291432	-3.52073357721218	0.000430354777099313	0.00194834356733462	drug	control	YES
ENSG00000211663	.	IGLV3-19	immunoglobulin lambda variable 3-19 [Source:HGNC Symbol;Acc:HGNC:5903]	79.7266891589107	0.707916791595144	0.206446328234903	3.42905973503026	0.00060567620658985	0.00259974864059336	drug	control	YES
ENSG00000185651	7332	UBE2L3	ubiquitin conjugating enzyme E2 L3 [Source:HGNC Symbol;Acc:HGNC:12488]	83.2117711124524	0.586513158161345	0.187311958839542	3.13121042455049	0.00174087375051089	0.00614814906825999	drug	control	YES
ENSG00000196588	57591	MRTFA	myocardin related transcription factor A [Source:HGNC Symbol;Acc:HGNC:14334]	1962.37794987596	0.427952592809317	0.0468170152703766	9.14096275334543	6.18987863876437e-20	2.87829356702543e-18	drug	control	NO
ENSG00000169184	4330	MN1	MN1 proto-oncogene, transcriptional regulator [Source:HGNC Symbol;Acc:HGNC:7180]	670.189033614437	-0.520113942195222	0.0705919066616896	-7.36789763574257	1.73339799266633e-13	3.72013876887619e-12	drug	control	NO
ENSG00000073150	56666	PANX2	pannexin 2 [Source:HGNC Symbol;Acc:HGNC:8600]	901.771045519102	0.480767468190646	0.0708117248917071	6.78937660289856	1.12619108530292e-11	1.84827831058539e-10	drug	control	NO
ENSG00000183579	84133	ZNRF3	zinc and ring finger 3 [Source:HGNC Symbol;Acc:HGNC:18126]	1230.52541892804	0.387343226194542	0.0659277692571372	5.87526668290251	4.22163170900603e-09	5.60873927053658e-08	drug	control	NO
ENSG00000099956	6598	SMARCB1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1 [Source:HGNC Symbol;Acc:HGNC:11103]	588.184902825522	0.413665017974216	0.0756955183038221	5.46485481893225	4.63285816648028e-08	4.61631224445714e-07	drug	control	NO
ENSG00000100092	23616	SH3BP1	SH3 domain binding protein 1 [Source:HGNC Symbol;Acc:HGNC:10824]	480.945371114605	0.531804924362863	0.0989481386730154	5.37458239735331	7.67603755179511e-08	7.18197486982727e-07	drug	control	NO
ENSG00000184470	10587	TXNRD2	thioredoxin reductase 2 [Source:HGNC Symbol;Acc:HGNC:18155]	322.506913819927	-0.574359977267132	0.106887626037746	-5.37349362651489	7.72255362347018e-08	7.18197486982727e-07	drug	control	NO
ENSG00000100350	80020	FOXRED2	FAD dependent oxidoreductase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:26264]	480.792409728001	0.442866294457527	0.0842226418384875	5.25828072820139	1.45408429062605e-07	1.26777974088959e-06	drug	control	NO
ENSG00000183307	27439	TMEM121B	transmembrane protein 121B [Source:HGNC Symbol;Acc:HGNC:1844]	415.098598113556	0.499757497189522	0.0956035641094605	5.22739399775231	1.71915900720937e-07	1.45347079700428e-06	drug	control	NO
ENSG00000100368	1439	CSF2RB	colony stimulating factor 2 receptor beta common subunit [Source:HGNC Symbol;Acc:HGNC:2436]	727.22546000584	0.4176935496825	0.0810049371486263	5.15639619491494	2.51747940098528e-07	2.0658139790438e-06	drug	control	NO
ENSG00000075218	51512	GTSE1	G2 and S-phase expressed 1 [Source:HGNC Symbol;Acc:HGNC:13698]	534.973494623023	0.459001384657865	0.0893351469868787	5.1379708898367	2.77720889207984e-07	2.21383223111508e-06	drug	control	NO
ENSG00000093010	1312	COMT	catechol-O-methyltransferase [Source:HGNC Symbol;Acc:HGNC:2228]	279.217092566485	-0.518771569725781	0.108574967017548	-4.7780034751651	1.7704432196352e-06	1.26654784173903e-05	drug	control	NO
ENSG00000133454	84700	MYO18B	myosin XVIIIB [Source:HGNC Symbol;Acc:HGNC:18150]	3599.48596807649	-0.221224349592968	0.0470498409453343	-4.70191492995696	2.5773288379249e-06	1.75384084336841e-05	drug	control	NO
ENSG00000100239	9701	PPP6R2	protein phosphatase 6 regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:19253]	672.176765248454	0.46068549681251	0.0985519242713172	4.67454593321004	2.94604696224859e-06	1.95701691063656e-05	drug	control	NO
ENSG00000186654	55615	PRR5	proline rich 5 [Source:HGNC Symbol;Acc:HGNC:31682]	870.097875804037	-0.357362457192612	0.0805827641717668	-4.43472572411233	9.21895823617062e-06	5.98160313463164e-05	drug	control	NO
ENSG00000100280	162	AP1B1	adaptor related protein complex 1 subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:554]	494.951643119191	-0.417920996271184	0.0950809168519679	-4.39542455108892	1.10556460303804e-05	7.01028464199119e-05	drug	control	NO
ENSG00000100106	11078	TRIOBP	TRIO and F-actin binding protein [Source:HGNC Symbol;Acc:HGNC:17009]	518.545775968958	-0.416423785415733	0.0961668710327699	-4.33022080206636	1.48959902916337e-05	9.03474193775173e-05	drug	control	NO
ENSG00000128242	9514	GAL3ST1	galactose-3-O-sulfotransferase 1 [Source:HGNC Symbol;Acc:HGNC:24240]	393.033007602676	0.427022844392023	0.0991335975598956	4.30754915490704	1.65073419161452e-05	9.79903913745642e-05	drug	control	NO
ENSG00000100241	6305	SBF1	SET binding factor 1 [Source:HGNC Symbol;Acc:HGNC:10542]	1160.08189369172	-0.337034699004705	0.0819448612734047	-4.11294489693754	3.90643654366353e-05	0.000227061624100442	drug	control	NO
ENSG00000179750	9582	APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B [Source:HGNC Symbol;Acc:HGNC:17352]	345.238816095559	0.528909026932018	0.129366349018213	4.08845910042304	4.34248088714323e-05	0.0002472555443904	drug	control	NO
ENSG00000215193	55670	PEX26	peroxisomal biogenesis factor 26 [Source:HGNC Symbol;Acc:HGNC:22965]	193.448574214415	-0.524012871611069	0.13187958840097	-3.97341907087128	7.08482373686217e-05	0.000395333164516909	drug	control	NO
ENSG00000198089	9814	SFI1	SFI1 centrin binding protein [Source:HGNC Symbol;Acc:HGNC:29064]	1572.19078283066	-0.256854801765245	0.0658704782468219	-3.89939178523633	9.64346252300883e-05	0.000517408854599897	drug	control	NO
ENSG00000239900	158	ADSL	adenylosuccinate lyase [Source:HGNC Symbol;Acc:HGNC:291]	794.905925043547	0.273489030761093	0.0705727425050773	3.87527848646972	0.00010650282627661	0.000550264602429149	drug	control	NO
ENSG00000100065	29775	CARD10	caspase recruitment domain family member 10 [Source:HGNC Symbol;Acc:HGNC:16422]	674.471780994029	0.353373421389727	0.0939750712547996	3.76028894334761	0.000169717212543957	0.000845555398210072	drug	control	NO
ENSG00000183963	6525	SMTN	smoothelin [Source:HGNC Symbol;Acc:HGNC:11126]	626.817569436225	0.345463528627769	0.0925437684257226	3.7329745103804	0.000189231751118612	0.000926239623896364	drug	control	NO
ENSG00000100376	55007	FAM118A	family with sequence similarity 118 member A [Source:HGNC Symbol;Acc:HGNC:1313]	261.005259741512	0.456691229563784	0.123173430433603	3.70770894304163	0.00020914283679272	0.00100604916319256	drug	control	NO
ENSG00000185666	8224	SYN3	synapsin III [Source:HGNC Symbol;Acc:HGNC:11496]	548.250459012728	-0.49364573898661	0.135078521522856	-3.65450949137818	0.000257674131493374	0.00121849292689239	drug	control	NO
ENSG00000100298	164668	APOBEC3H	apolipoprotein B mRNA editing enzyme catalytic subunit 3H [Source:HGNC Symbol;Acc:HGNC:24100]	256.016292839064	0.41388044139853	0.117246840800242	3.52999226737099	0.000415571812676873	0.00193240892894746	drug	control	NO
ENSG00000100129	51386	EIF3L	eukaryotic translation initiation factor 3 subunit L [Source:HGNC Symbol;Acc:HGNC:18138]	922.527223804001	0.238612799878753	0.0678044944951473	3.51912954525206	0.000432965237185472	0.00194834356733462	drug	control	NO
ENSG00000070010	7353	UFD1	ubiquitin recognition factor in ER associated degradation 1 [Source:HGNC Symbol;Acc:HGNC:12520]	142.364621317237	-0.501175109126638	0.143290699931898	-3.49761086633557	0.000469445548317896	0.00207897314255068	drug	control	NO
ENSG00000128159	85378	TUBGCP6	tubulin gamma complex associated protein 6 [Source:HGNC Symbol;Acc:HGNC:18127]	801.645545723232	-0.401559493866906	0.115053605060277	-3.49019479795117	0.000482668580322503	0.00210413334234341	drug	control	NO
ENSG00000099949	8216	LZTR1	leucine zipper like transcription regulator 1 [Source:HGNC Symbol;Acc:HGNC:6742]	118.204523549242	0.550782007596225	0.164915304136159	3.33978711364158	0.000838426341809501	0.00354425680855835	drug	control	NO
ENSG00000099954	27443	CECR2	CECR2 histone acetyl-lysine reader [Source:HGNC Symbol;Acc:HGNC:1840]	889.315274642322	0.278708333041219	0.0836332963113099	3.33250446094792	0.00086068090626687	0.0035839026663521	drug	control	NO
ENSG00000242247	26286	ARFGAP3	ADP ribosylation factor GTPase activating protein 3 [Source:HGNC Symbol;Acc:HGNC:661]	251.785040851691	-0.45786253530405	0.137562780264035	-3.3283896590723	0.000873495990365386	0.0035839026663521	drug	control	NO
ENSG00000100316	6122	RPL3	ribosomal protein L3 [Source:HGNC Symbol;Acc:HGNC:10332]	246.539498733526	-0.463950848561651	0.140512390504521	-3.3018500852188	0.000960493907102368	0.0038837362330661	drug	control	NO
ENSG00000100150	9681	DEPDC5	DEP domain containing 5 [Source:HGNC Symbol;Acc:HGNC:18423]	4483.74153568318	-0.187399211410458	0.0572419094706954	-3.27381132361415	0.00106107434255651	0.0042291391653324	drug	control	NO
ENSG00000100206	11144	DMC1	DNA meiotic recombinase 1 [Source:HGNC Symbol;Acc:HGNC:2927]	407.955551886673	-0.45894867235541	0.140642737485043	-3.26322340251816	0.00110152650540441	0.00432853373250467	drug	control	NO
ENSG00000167077	150365	MEI1	meiotic double-stranded break formation protein 1 [Source:HGNC Symbol;Acc:HGNC:28613]	114.812031649722	-0.577227424511845	0.177358707338295	-3.25457618165223	0.00113561697816862	0.00440051579040339	drug	control	NO
ENSG00000100116	23464	GCAT	glycine C-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:4188]	482.474267640044	-0.380315230299249	0.117593831098927	-3.23414269902734	0.00122008477928626	0.0046630637454913	drug	control	NO
ENSG00000100294	27349	MCAT	malonyl-CoA-acyl carrier protein transacylase [Source:HGNC Symbol;Acc:HGNC:29622]	125.130166360498	0.496056085883327	0.153883519682957	3.22358162138052	0.00126598214059905	0.00472377095665629	drug	control	NO
ENSG00000100034	9647	PPM1F	protein phosphatase, Mg2+/Mn2+ dependent 1F [Source:HGNC Symbol;Acc:HGNC:19388]	207.062489781104	-0.426626995750381	0.132381353134208	-3.22271215431579	0.00126983090232696	0.00472377095665629	drug	control	NO
ENSG00000128298	80115	BAIAP2L2	BAI1 associated protein 2 like 2 [Source:HGNC Symbol;Acc:HGNC:26203]	353.842774062345	0.329164237107959	0.104394373999565	3.15308406475364	0.00161555275356633	0.00592670816323363	drug	control	NO
ENSG00000100024	51733	UPB1	beta-ureidopropionase 1 [Source:HGNC Symbol;Acc:HGNC:16297]	165.236460309669	0.396766696959609	0.125979002847005	3.14946687934546	0.00163568648232613	0.00592670816323363	drug	control	NO
ENSG00000100379	79734	KCTD17	potassium channel tetramerization domain containing 17 [Source:HGNC Symbol;Acc:HGNC:25705]	437.280417546169	-0.306969617250436	0.0978729655794302	-3.13640866436514	0.00171030700107947	0.00611763658078426	drug	control	NO
ENSG00000183765	11200	CHEK2	checkpoint kinase 2 [Source:HGNC Symbol;Acc:HGNC:16627]	592.983465199241	-0.372030367690329	0.123914594617434	-3.00231275289978	0.00267936749227778	0.00925617690721181	drug	control	NO
ENSG00000099999	200312	RNF215	ring finger protein 215 [Source:HGNC Symbol;Acc:HGNC:33434]	305.906042000896	-0.355161814270929	0.118331443442287	-3.00141537987872	0.00268727716660988	0.00925617690721181	drug	control	NO
ENSG00000100395	83746	L3MBTL2	L3MBTL histone methyl-lysine binding protein 2 [Source:HGNC Symbol;Acc:HGNC:18594]	199.575031277564	0.40270190460911	0.136630693018758	2.94737511544221	0.00320484173839423	0.0109042785977072	drug	control	NO
ENSG00000128284	80833	APOL3	apolipoprotein L3 [Source:HGNC Symbol;Acc:HGNC:14868]	354.548341924575	0.455402917443379	0.156609579610634	2.90788672427071	0.00363880117948825	0.0122316328804484	drug	control	NO
ENSG00000100227	84271	POLDIP3	DNA polymerase delta interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:23782]	232.104119438704	-0.394621869964519	0.136564531421057	-2.88963661250971	0.00385687382768634	0.0128103309276725	drug	control	NO
ENSG00000188130	6300	MAPK12	mitogen-activated protein kinase 12 [Source:HGNC Symbol;Acc:HGNC:6874]	160.930099796082	-0.421814770983232	0.147123804092827	-2.86707357510338	0.00414286686841592	0.0135983512504476	drug	control	NO
ENSG00000100296	8563	THOC5	THO complex 5 [Source:HGNC Symbol;Acc:HGNC:19074]	655.251886881909	-0.276289434532594	0.0972571238190061	-2.84081436591487	0.004499849758672	0.0145983497984824	drug	control	NO
ENSG00000176635	150280	HORMAD2	HORMA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28383]	62.8932883479224	0.538864992317185	0.193790531687608	2.78065696824569	0.00542490264260376	0.0173971015780051	drug	control	NO
ENSG00000133424	9215	LARGE1	LARGE xylosyl- and glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:6511]	511.811549574097	0.323546469409369	0.119651010784953	2.70408471509592	0.00684928247530412	0.0217153387569301	drug	control	NO
ENSG00000205702	1564	CYP2D7	cytochrome P450 family 2 subfamily D member 7 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:2624]	795.72940231714	0.18168530926372	0.0673705855033666	2.69680466491777	0.00700083235575264	0.021946429519719	drug	control	NO
ENSG00000100124	129138	ANKRD54	ankyrin repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25185]	159.101384548708	-0.362281387054801	0.134798062086168	-2.68758601902761	0.00719705625108416	0.0223108743783609	drug	control	NO
ENSG00000205643	150383	CDPF1	cysteine rich DPF motif domain containing 1 [Source:HGNC Symbol;Acc:HGNC:33710]	165.809777347045	0.36996657884	0.139594506402717	2.65029468833596	0.00804215902776743	0.0246567293268913	drug	control	NO
ENSG00000100075	6576	SLC25A1	solute carrier family 25 member 1 [Source:HGNC Symbol;Acc:HGNC:10979]	221.807282573114	0.312620060587463	0.1185841194885	2.6362725627674	0.00838223712558945	0.025420045196081	drug	control	NO
ENSG00000211677	.	IGLC2	immunoglobulin lambda constant 2 [Source:HGNC Symbol;Acc:HGNC:5856]	83.7727026200443	0.469287232654915	0.179225906848985	2.61841181838927	0.0088340120698473	0.0265020362095419	drug	control	NO
ENSG00000197077	85379	KIAA1671	KIAA1671 [Source:HGNC Symbol;Acc:HGNC:29345]	1143.75891385576	0.202154991389722	0.0780962872676863	2.58853523595567	0.00963850854044206	0.0285173532018083	drug	control	NO
ENSG00000100336	80832	APOL4	apolipoprotein L4 [Source:HGNC Symbol;Acc:HGNC:14867]	476.998169826723	0.248366197193764	0.0960432943470847	2.58598165423407	0.00971020987158346	0.0285173532018083	drug	control	NO
ENSG00000100362	5816	PVALB	parvalbumin [Source:HGNC Symbol;Acc:HGNC:9704]	83.9773356243878	0.559401357754259	0.219140489283393	2.55270652896481	0.0106889517222037	0.0310647659426545	drug	control	NO
ENSG00000213923	1454	CSNK1E	casein kinase 1 epsilon [Source:HGNC Symbol;Acc:HGNC:2453]	389.07435769392	0.330542999918528	0.129816635533909	2.54622990773926	0.0108893443135244	0.0313208975615805	drug	control	NO
ENSG00000159873	150275	CCDC117	coiled-coil domain containing 117 [Source:HGNC Symbol;Acc:HGNC:26599]	384.078957257638	0.283496186564096	0.112005308425797	2.53109598597204	0.0113706727252716	0.032371609085212	drug	control	NO
ENSG00000099942	1399	CRKL	CRK like proto-oncogene, adaptor protein [Source:HGNC Symbol;Acc:HGNC:2363]	199.618126132757	0.357052478877906	0.141500140380198	2.52333656997468	0.0116247080816272	0.0327605409573131	drug	control	NO
ENSG00000184792	23762	OSBP2	oxysterol binding protein 2 [Source:HGNC Symbol;Acc:HGNC:8504]	1372.10660375859	0.16884195633526	0.0674817425355245	2.50203906999551	0.0123480297266817	0.0344510029374418	drug	control	NO
ENSG00000100416	55687	TRMU	tRNA 5-methylaminomethyl-2-thiouridylate methyltransferase [Source:HGNC Symbol;Acc:HGNC:25481]	262.308699156566	0.420720714243264	0.16934477959583	2.4844032112911	0.0129768779628464	0.0358470193231103	drug	control	NO
ENSG00000196576	23654	PLXNB2	plexin B2 [Source:HGNC Symbol;Acc:HGNC:9104]	155.045334795015	0.469440699999042	0.195601241439249	2.39998834641775	0.0163955938094931	0.0448467713024371	drug	control	NO
ENSG00000100302	23551	RASD2	RASD family member 2 [Source:HGNC Symbol;Acc:HGNC:18229]	186.279405132936	0.313034278811162	0.131791130644286	2.37523023955281	0.0175380067202619	0.0475058628636221	drug	control	NO
ENSG00000185386	5600	MAPK11	mitogen-activated protein kinase 11 [Source:HGNC Symbol;Acc:HGNC:6873]	296.698809060342	-0.24164125392731	0.10313992407461	-2.34284886376793	0.0191371334835117	0.0513390407874976	drug	control	NO
ENSG00000100429	83933	HDAC10	histone deacetylase 10 [Source:HGNC Symbol;Acc:HGNC:18128]	99.2322565027165	-0.456862331584813	0.203951811954271	-2.24005036879618	0.0250876530873483	0.0666614782035256	drug	control	NO
ENSG00000100003	23541	SEC14L2	SEC14 like lipid binding 2 [Source:HGNC Symbol;Acc:HGNC:10699]	299.620121762993	0.344705223815868	0.15414599854941	2.23622557224783	0.025336998929848	0.0666888934096944	drug	control	NO
ENSG00000099901	5902	RANBP1	RAN binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9847]	188.825410341034	0.278772384740409	0.125736436929556	2.21711694356817	0.0266151012493699	0.0693982546595719	drug	control	NO
ENSG00000100284	10043	TOM1	target of myb1 membrane trafficking protein [Source:HGNC Symbol;Acc:HGNC:11982]	261.847099155168	0.298722828277876	0.137739531629069	2.16875159037373	0.0301015483091903	0.077762333132075	drug	control	NO
ENSG00000128310	8484	GALR3	galanin receptor 3 [Source:HGNC Symbol;Acc:HGNC:4134]	264.7327272571	0.305327063182622	0.141032303105113	2.16494417562662	0.0303919606270849	0.0777922661922632	drug	control	NO
ENSG00000205704	.	LINC00634	long intergenic non-protein coding RNA 634 [Source:HGNC Symbol;Acc:HGNC:27930]	44.9155474261347	0.560291412532278	0.260797244420342	2.14837934264836	0.0316836324575337	0.0803612132331991	drug	control	NO
ENSG00000221890	23467	NPTXR	neuronal pentraxin receptor [Source:HGNC Symbol;Acc:HGNC:7954]	341.08442728088	0.263276808874396	0.122794893270041	2.14403711639228	0.0320299129283693	0.0805076189821173	drug	control	NO
ENSG00000215012	79680	RTL10	retrotransposon Gag like 10 [Source:HGNC Symbol;Acc:HGNC:26112]	166.408081501104	-0.34866015328677	0.165873684011246	-2.10196183538753	0.0355566190945268	0.0885740779229729	drug	control	NO
ENSG00000077935	27127	SMC1B	structural maintenance of chromosomes 1B [Source:HGNC Symbol;Acc:HGNC:11112]	703.549190556944	-0.160060249246911	0.0769388545025327	-2.08035654133169	0.0374928422554309	0.0925708229138514	drug	control	NO
ENSG00000183773	150209	AIFM3	apoptosis inducing factor mitochondria associated 3 [Source:HGNC Symbol;Acc:HGNC:26398]	1219.02150960142	0.178294585875635	0.0859103018732224	2.0753574599091	0.0379534177134526	0.0928859959829235	drug	control	NO
ENSG00000178026	388886	LRRC75B	leucine rich repeat containing 75B [Source:HGNC Symbol;Acc:HGNC:33155]	232.193311542878	-0.234408346305253	0.114422564081437	-2.04861993949392	0.0404992933257742	0.0982548072860088	drug	control	NO
ENSG00000241878	23761	PISD	phosphatidylserine decarboxylase [Source:HGNC Symbol;Acc:HGNC:8999]	43.6470971995706	-0.464984971312166	0.227673968157528	-2.04232822520334	0.0411189841251647	0.0988982463010427	drug	control	NO
ENSG00000073146	54456	MOV10L1	Mov10 like RISC complex RNA helicase 1 [Source:HGNC Symbol;Acc:HGNC:7201]	806.783500248609	0.154049219219727	0.0763616706483233	2.01736313404125	0.0436576315453732	0.104106659838967	drug	control	NO
